,max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
36,2.715e-05,0.09699999999999999,0.395,4.638,3.569,3.182,STARLINK-2330,STARLINK-2279,47874-47991,2022-05-22 10:22:33.958,2022 May 22 10:22:32.883,2022 May 22 10:22:35.033,2022-05-20 12:36:39,47874,47991,2022-05-22 10:25:00
37,4.812e-05,0.078,0.276,8.934,2.0340000000000003,2.193,STARLINK-1758,STARLINK-2279,46380-47991,2022-05-22 02:37:32.236,2022 May 22 02:37:31.677,2022 May 22 02:37:32.795,2022-05-21 00:39:50,46380,47991,2022-05-22 02:40:00
38,0.0003164,0.027999999999999997,0.11599999999999999,4.143,5.289,5.292999999999999,STARLINK-2414,STARLINK-2248,48095-48591,2022-05-27 19:34:47.677,2022 May 27 19:34:46.470,2022 May 27 19:34:48.883,2022-05-31 01:26:20,48095,48591,2022-05-27 19:35:00
39,2.58e-05,0.10800000000000001,0.374,9.3,2.0,2.478,STARLINK-2411,STARLINK-2455,47826-48117,2022-04-29 16:14:40.801,2022 Apr 29 16:14:40.265,2022 Apr 29 16:14:41.337,2022-04-28 18:15:39,47826,48117,2022-04-29 16:15:00
40,1.619e-05,0.13699999999999998,0.46799999999999997,9.616,2.379,2.9619999999999997,STARLINK-1246,STARLINK-2455,45235-48117,2022-04-30 03:51:34.419,2022 Apr 30 03:51:33.901,2022 Apr 30 03:51:34.936,2022-04-28 18:15:39,45235,48117,2022-04-30 03:50:00
41,1.4099999999999999e-05,0.138,0.535,6.511,1.704,1.32,STARLINK-2455,STARLINK-2616,48117-48695,2022-04-28 21:41:04.591,2022 Apr 28 21:41:03.827,2022 Apr 28 21:41:05.355,2022-04-28 18:15:39,48117,48695,2022-04-28 21:40:00
42,5.532e-05,0.07,0.27,6.511,4.425,4.499,STARLINK-1464,STARLINK-2480,45751-48137,2022-05-14 09:39:37.297,2022 May 14 09:39:36.530,2022 May 14 09:39:38.064,2022-05-11 03:57:58,45751,48137,2022-05-14 09:40:00
43,2.207e-05,0.12,0.39299999999999996,10.222999999999999,5.497999999999999,5.2829999999999995,STARLINK-1403,STARLINK-2480,45701-48137,2022-05-13 03:07:03.078,2022 May 13 03:07:02.590,2022 May 13 03:07:03.566,2022-05-08 22:49:37,45701,48137,2022-05-13 03:05:00
44,1.091e-05,0.157,0.608,6.51,6.622000000000001,6.547999999999999,STARLINK-1654,STARLINK-2555,46326-48291,2022-05-29 01:38:19.469,2022 May 29 01:38:18.707,2022 May 29 01:38:20.232,2022-05-31 01:26:21,46326,48291,2022-05-29 01:40:00
45,1.053e-05,0.156,0.634,4.636,6.82,6.6160000000000005,STARLINK-1202,STARLINK-2519,45183-48305,2022-04-30 06:50:55.529,2022 Apr 30 06:50:54.459,2022 Apr 30 06:50:56.599,2022-04-24 20:20:52,45183,48305,2022-04-30 06:50:00
46,1.716e-05,0.156,0.39,13.009,2.137,2.142,LEMUR-2-DAYWZAGOODDAY,STARLINK-2519,46501-48305,2022-04-29 17:25:39.657,2022 Apr 29 17:25:39.274,2022 Apr 29 17:25:40.040,2022-04-29 10:26:46,46501,48305,2022-04-29 17:25:00
47,2.119e-05,0.11,0.447,4.645,5.791,5.587000000000001,STARLINK-1202,STARLINK-2519,45183-48305,2022-04-29 06:10:03.689,2022 Apr 29 06:10:02.617,2022 Apr 29 06:10:04.761,2022-04-24 20:20:52,45183,48305,2022-04-29 06:10:00
48,8.692e-05,0.076,0.158,13.982999999999999,3.75,3.3280000000000003,STARLINK-2636,COSMOS 1408 DEB,48357-51935,2022-05-21 01:09:02.427,2022 May 21 01:09:02.069,2022 May 21 01:09:02.784,2022-05-18 20:47:37,48357,51935,2022-05-21 01:10:00
49,1.086e-05,0.154,0.624,4.645,6.322,6.117999999999999,STARLINK-1259,STARLINK-2652,45403-48451,2022-05-24 00:04:54.406,2022 May 24 00:04:53.338,2022 May 24 00:04:55.474,2022-05-19 11:42:51,45403,48451,2022-05-24 00:05:00
50,1.152e-05,0.166,0.544,10.238999999999999,6.792000000000001,6.577000000000001,STARLINK-1450,STARLINK-2703,45667-48452,2022-05-18 10:15:42.393,2022 May 18 10:15:41.907,2022 May 18 10:15:42.878,2022-05-13 12:17:11,45667,48452,2022-05-18 10:15:00
