max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
2.016e-05,0.12300000000000001,0.419,9.613999999999999,7.819,7.606,STARLINK-1259,STARLINK-1797,45403-46698,2022-05-26 11:54:05.794,2022 May 26 11:54:05.276,2022 May 26 11:54:06.312,2022-05-20 12:36:39,45403,46698,2022-05-26 11:55:00
1.207e-05,0.156,0.551,8.935,2.1790000000000003,1.732,STARLINK-1814,STARLINK-2019,46712-47641,2022-05-13 15:33:36.528,2022 May 13 15:33:35.972,2022 May 13 15:33:37.084,2022-05-13 01:30:39,46712,47641,2022-05-13 15:35:00
5.014e-05,0.073,0.284,6.5089999999999995,1.771,1.5130000000000001,STARLINK-1643,STARLINK-1814,46136-46712,2022-05-12 23:34:53.223,2022 May 12 23:34:52.457,2022 May 12 23:34:53.990,2022-05-13 01:30:39,46136,46712,2022-05-12 23:35:00
0.00019569999999999999,0.037000000000000005,0.14300000000000002,6.962000000000001,6.979,7.385,STARLINK-1815,STARLINK-2471,46713-48129,2022-05-20 09:12:57.317,2022 May 20 09:12:56.599,2022 May 20 09:12:58.035,2022-05-14 12:12:36,46713,48129,2022-05-20 09:15:00
5.744e-05,0.069,0.263,6.962999999999999,6.058,5.519,STARLINK-1925,STARLINK-2101,46756-47381,2022-05-23 23:14:07.053,2022 May 23 23:14:06.336,2022 May 23 23:14:07.771,2022-05-19 11:42:51,46756,47381,2022-05-23 23:15:00
2.844e-05,0.098,0.374,6.962000000000001,6.722,5.917000000000001,STARLINK-1925,STARLINK-2101,46756-47381,2022-05-22 01:03:29.605,2022 May 22 01:03:28.889,2022 May 22 01:03:30.321,2022-05-17 00:28:33,46756,47381,2022-05-22 01:05:00
0.0001864,0.038,0.147,6.523,6.058,6.249,STARLINK-1925,STARLINK-2135,46756-47408,2022-05-22 09:00:47.219,2022 May 22 09:00:46.453,2022 May 22 09:00:47.985,2022-05-17 12:13:06,46756,47408,2022-05-22 09:00:00
3.532e-05,0.091,0.322,8.95,1.018,0.74,STARLINK-1925,STARLINK-2084,46756-47368,2022-05-20 14:04:51.223,2022 May 20 14:04:50.665,2022 May 20 14:04:51.780,2022-05-20 20:34:26,46756,47368,2022-05-20 14:05:00
1.642e-05,0.128,0.496,6.524,0.75,0.875,STARLINK-1925,STARLINK-2135,46756-47408,2022-05-20 07:39:22.686,2022 May 20 07:39:21.924,2022 May 20 07:39:23.449,2022-05-20 20:34:26,46756,47408,2022-05-20 07:40:00
1.237e-05,0.14300000000000002,0.5870000000000001,4.141,6.483,6.553999999999999,STARLINK-1215,STARLINK-1926,45225-46757,2022-05-21 21:44:29.161,2022 May 21 21:44:27.962,2022 May 21 21:44:30.360,2022-05-16 20:30:09,45225,46757,2022-05-21 21:45:00
